IATA_ID,Name,WMO_ID,MSC_ID,Latitude,Longitude,Elevation(m),Data_Provider,Dataset/Network,AUTO/MAN,Province/Territory
CYPL,Pickle Lake,71845,6016528,51.4464,-90.2142,386.5,NAV CANADA,NC-AWOS,AUTO,Ontario
CYPO,Peawanuck,,6016298,54.9881,-85.4433,52.7,NAV CANADA,NC-AWOS,AUTO,Ontario
CYPQ,Peterborough,71436,6166415,44.2305,-78.3632,191.4,NAV CANADA,NC-AWOS,AUTO,Ontario
CYQA,Muskoka,71532,6115529,44.9747,-79.3033,281,NAV CANADA,NC-AWOS,AUTO,Ontario
CYQG,Windsor,71538,6139530,42.2756,-82.9556,189.6,NAV CANADA,NC-AWOS,AUTO,Ontario
CYQK,Kenora,71850,6034076,49.7883,-94.3631,409.7,NAV CANADA,NC-HWOS,MAN,Ontario
CYQT,Thunder Bay,71072,6048260,48.372,-89.3217,199.3,NAV CANADA,NC-AWOS,AUTO,Ontario
CYQT,Thunder Bay,71072,6048262,48.372,-89.3217,199.3,NAV CANADA,NC-HWOS,MAN,Ontario
CYRL,Red Lake,71854,6016971,51.0671,-93.793,385.8,NAV CANADA,NC-AWOS,AUTO,Ontario
CYRL,Red Lake,71854,6016970,51.0671,-93.793,385.8,NAV CANADA,NC-HWOS,MAN,Ontario
CYSB,Sudbury,71730,6068153,46.6255,-80.7978,348.4,NAV CANADA,NC-HWOS,MAN,Ontario
CYSN,St. Catharines/Niagara District,,6137304,43.1917,-79.1717,98.1,NAV CANADA,NC-AWOS,AUTO,Ontario
CYSN,St. Catharines/Niagara District,,6137286,43.1917,-79.1717,98.1,NAV CANADA,NC-HWOS,MAN,Ontario
CYSP,Marathon,,6044967,48.7553,-86.3444,314.6,NAV CANADA,NC-AWOS,AUTO,Ontario
CYSP,Marathon,,6044963,48.7553,-86.3444,314.6,NAV CANADA,NC-HWOS,MAN,Ontario
CYTL,Big Trout Lake,71675,6010735,53.8179,-89.8969,222.5,NAV CANADA,NC-AWOS,AUTO,Ontario
CYTR,Trenton,71621,6158875,44.12,-77.53,86,,,MAN,Ontario
CYTS,Timmins (Victor M. Power),71739,6078286,48.5707,-81.3766,295,NAV CANADA,NC-HWOS,MAN,Ontario
CYTZ,Toronto City Centre,71265,6158359,43.6274,-79.3962,76.8,NAV CANADA,NC-AWOS,AUTO,Ontario
CYVV,Wiarton,71633,6119498,44.7458,-81.1072,221.9,NAV CANADA,NC-AWOS,AUTO,Ontario
CYVV,Wiarton,71633,6119499,44.7458,-81.1072,221.9,NAV CANADA,NC-HWOS,MAN,Ontario
CYWA,Petawawa,71625,6106398,45.95,-77.32,130,,,MAN,Ontario
CYXL,Sioux Lookout,71842,6037776,50.1141,-91.9055,383.1,NAV CANADA,NC-HWOS,MAN,Ontario
CYXR,Earlton (Timiskaming Regional),71684,6072223,47.695,-79.8489,243.8,NAV CANADA,NC-AWOS,AUTO,Ontario
CYXU,London,71623,6144473,43.0331,-81.1511,278,NAV CANADA,NC-HWOS,MAN,Ontario
CYXZ,Wawa,71738,6059413,47.9669,-84.7863,287.7,NAV CANADA,NC-AWOS,AUTO,Ontario
CYXZ,Wawa,71738,6059407,47.9669,-84.7863,287.7,NAV CANADA,NC-HWOS,MAN,Ontario
CYYB,North Bay,71731,6085680,46.3638,-79.4242,370.3,NAV CANADA,NC-AWOS,AUTO,Ontario
CYYB,North Bay,71731,6085701,46.3638,-79.4242,370.3,NAV CANADA,NC-HWOS,MAN,Ontario
CYYU,Kapuskasing,71831,6073978,49.4116,-82.4687,226.5,NAV CANADA,NC-AWOS,AUTO,Ontario
CYYU,Kapuskasing,71831,6073976,49.4116,-82.4687,226.5,NAV CANADA,NC-HWOS,MAN,Ontario
CYYW,Armstrong,,6040327,50.2903,-88.9097,322.8,NAV CANADA,NC-AWOS,AUTO,Ontario
CYYZ,Toronto/Pearson International,71624,6158731,43.6767,-79.6306,173.4,NAV CANADA,NC-HWOS,MAN,Ontario
CYZE,Gore Bay-Manitoulin,,6092919,45.8817,-82.5683,189.9,NAV CANADA,NC-AWOS,AUTO,Ontario
CYZR,Sarnia (Chris Hadfield),71704,6127510,42.9994,-82.3089,181.4,NAV CANADA,NC-AWOS,AUTO,Ontario
CZEL,ELORA RCS,71352,6142286,43.64194,-80.4117,373.827,MSC,CA,AUTO,Ontario
CZMD,Muskrat Dam,71678,6015026,53.4414,-91.7628,277.7,NAV CANADA,NC-AWOS,AUTO,Ontario
CZSJ,Sandy Lake,71587,6017401,53.0642,-93.3444,289.9,NAV CANADA,NC-AWOS,AUTO,Ontario
CZTB,THUNDER BAY CS,71667,6048268,48.3694,-89.3272,198.8,MSC,CA,AUTO,Ontario
